Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2024-12-25,13:29:59.880,86,5.2,1.22,3.1,0,3.7,113,-312,-324,184,-940,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1556,1665,1338,1556,1528,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-25,13:30:00.340,88,5.2,1.22,4.5,0,5.4,133,-402,-93,194,-939,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1558,1716,1454,1566,1529,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-25,13:30:00.840,84,5.2,1.22,6.1,1,7.4,976,-338,-290,436,-939,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1628,1679,1355,1998,1564,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-25,13:30:01.340,86,5.1,1.22,4.4,2,5.3,610,-499,-79,519,-940,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1661,1765,1461,1805,1581,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-25,13:30:01.840,93,5.2,1.22,6.4,3,7.8,477,-539,39,553,-939,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1676,1788,1519,1738,1588,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2024-12-25,13:30:02.340,92,5.2,1.21,7.3,4,8.8,-251,-506,105,530,-939,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1666,1773,1552,1375,1583,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-25,13:30:02.840,88,5.2,1.21,11.2,5,13.5,0,-585,481,417,-940,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1616,1829,1747,1500,1558,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-25,13:30:03.340,67,5.2,1.18,22.5,7,26.5,47,-875,779,101,-940,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1538,1974,1889,1523,1519,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-25,13:30:03.840,89,5.2,1.15,23.5,10,27.0,1,-802,1019,20,-940,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1522,1944,2009,1500,1511,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2024-12-25,13:30:04.340,75,5.2,1.14,23.2,14,26.4,4,-452,1024,-259,-940,379,-1,-1,-1,-1,1,-1,-1,-1,0x000000000000000C,1481,1769,2012,1502,1462,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
