Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),mAh(mAh),Pwr(W),TRSS(dB),TQly,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2025-01-02,14:35:21.760,94,5.2,12.49,0.0,0,0.0,116,99,464,-334,-1024,-15,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000D,1533,1657,988,1732,1516,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:22.230,86,5.2,12.48,0.0,0,0.0,116,99,848,-1,-1024,-6,-1007,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000D,1535,1491,988,1924,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:22.730,88,5.2,12.49,2.5,0,31.2,116,99,127,-1,-814,-7,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1493,1093,1563,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:23.230,87,5.2,12.45,0.0,0,0.0,115,99,40,0,-858,-7,-1007,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1534,1492,1071,1520,1517,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:23.730,85,5.2,12.49,2.8,0,34.9,115,99,91,-127,-511,177,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1573,1559,1245,1545,1536,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:24.230,87,5.2,12.39,3.2,1,39.6,115,100,200,-600,-557,268,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1595,1795,1222,1600,1547,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:24.730,88,5.2,12.39,3.5,1,43.3,114,100,534,-674,-452,308,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1605,1834,1274,1767,1553,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:25.230,84,5.2,12.35,3.2,2,39.5,109,100,261,-615,-490,340,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1615,1804,1255,1630,1557,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:25.730,103,5.2,12.36,3.7,2,45.7,102,98,365,-702,-333,379,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1627,1849,1334,1682,1563,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:26.230,100,5.2,12.29,5.2,3,63.9,103,98,684,-806,-332,389,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1630,1901,1334,1842,1565,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:26.730,100,5.2,12.25,5.1,3,62.4,96,100,389,-721,-333,399,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1633,1859,1334,1694,1567,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:27.230,98,5.2,12.24,4.9,4,59.9,93,100,-134,-593,-336,453,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1653,1795,1332,1433,1576,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:27.730,92,5.3,12.22,5.0,5,61.1,88,95,16,-621,-64,449,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1651,1812,1468,1508,1576,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
2025-01-02,14:35:28.230,88,5.3,12.09,8.0,5,96.7,84,95,610,-750,-59,420,-1008,459,-1,-1,-1,-1,1,1,-1,-1,0x000000000000000C,1641,1877,1471,1805,1570,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.4
